divipola,ano,departamento,municipio,votos_validos,votos_izquierda,pct_izquierda,votos_blanco,votos_nulos,votos_totales_emitidos,pct_votos_blanco,num_candidatos,lag_pct_izquierda,lag_pct_votos_blanco,lag_pct_izquierda_imputado,lag_pct_votos_blanco_imputado,peso_muestral,nbi_total,fuente_nbi,per_ocu,baja_confiabilidad_electoral,valido_para_modelado,region_dane
05411,2006,ANTIOQUIA,LIBORINA,3011,332.0,11.02623713052142,47.0,27.0,3085.0,1.5235008103727714,7,2.569593147751606,1.8711018711018712,0,0,1.0,35.2267864783911,2005,64310.0,0,1,Andina
05425,2006,ANTIOQUIA,MACEO,2308,259.0,11.221837088388217,36.0,43.0,2387.0,1.508169250104734,7,5.803298717165547,2.286049237983588,0,0,1.0,35.42168674698795,2005,64310.0,0,1,Andina
05440,2006,ANTIOQUIA,MARINILLA,14274,3077.0,21.55667647470926,324.0,225.0,14823.0,2.185792349726776,7,6.638583352835635,1.4374338023906794,0,0,1.0,14.56087825107315,2005,64310.0,0,1,Andina
05467,2006,ANTIOQUIA,MONTEBELLO,2254,161.0,7.142857142857142,49.0,35.0,2338.0,2.095808383233533,7,3.258785942492013,2.332719459791283,0,0,1.0,33.9742721733243,2005,64310.0,0,1,Andina
05475,2006,ANTIOQUIA,MURINDO,265,15.0,5.660377358490567,11.0,4.0,280.0,3.928571428571429,7,3.3167373985179665,2.81061981724355,1,1,0.56,97.0848813946842,2005,64310.0,0,1,Andina
05480,2006,ANTIOQUIA,MUTATA,1775,142.0,8.0,45.0,39.0,1859.0,2.4206562668101133,7,0.8356545961002786,2.28956228956229,0,0,1.0,60.74058707602946,2005,64310.0,0,1,Andina
05483,2006,ANTIOQUIA,NARINO,1590,53.0,3.333333333333333,35.0,27.0,1652.0,2.11864406779661,7,1.7699115044247788,1.430615164520744,0,0,1.0,34.22163002442816,2005,64310.0,0,1,Andina
05490,2006,ANTIOQUIA,NECOCLI,7446,352.0,4.72737040021488,61.0,117.0,7624.0,0.8001049317943336,7,1.0499522748965957,0.7886191433431265,0,0,1.0,77.80315905763716,2005,64310.0,0,1,Andina
05495,2006,ANTIOQUIA,NECHI,3378,390.0,11.545293072824157,21.0,62.0,3461.0,0.6067610517191563,7,1.5862944162436547,0.6544094733561857,0,0,1.0,68.12906878007358,2005,64310.0,0,1,Andina
05501,2006,ANTIOQUIA,OLAYA,967,96.0,9.927611168562564,12.0,6.0,985.0,1.2182741116751268,7,2.4752475247524752,1.444043321299639,0,0,1.0,40.6282722513089,2005,64310.0,0,1,Andina
05541,2006,ANTIOQUIA,PENOL,4803,525.0,10.930668332292315,91.0,35.0,4929.0,1.8462162710488943,7,7.002801120448179,2.9795781720790093,0,0,1.0,21.52912561421208,2005,64310.0,0,1,Andina
05543,2006,ANTIOQUIA,PEQUE,1584,265.0,16.72979797979798,28.0,26.0,1638.0,1.7094017094017095,7,2.672292545710268,3.087248322147651,0,0,1.0,74.51006711409396,2005,64310.0,0,1,Andina
05576,2006,ANTIOQUIA,PUEBLORRICO,2390,214.0,8.95397489539749,58.0,26.0,2474.0,2.3443815683104283,7,1.9163763066202089,1.8090029448885148,0,0,1.0,30.0221021611002,2005,64310.0,0,1,Andina
05579,2006,ANTIOQUIA,PUERTO BERRIO,8980,1683.0,18.74164810690424,291.0,132.0,9403.0,3.094756992449218,7,1.8580726432920427,2.233350025037556,0,0,1.0,38.429531076075214,2005,64310.0,0,1,Andina
05585,2006,ANTIOQUIA,PUERTO NARE,4010,1493.0,37.231920199501246,56.0,26.0,4092.0,1.3685239491691104,7,5.202312138728324,1.6517857142857144,0,0,1.0,31.940845797542057,2005,64310.0,0,1,Andina
05591,2006,ANTIOQUIA,PUERTO TRIUNFO,3892,470.0,12.076053442959918,66.0,41.0,3999.0,1.6504126031507875,7,2.027027027027027,1.514360313315927,0,0,1.0,33.65030008302908,2005,64310.0,0,1,Andina
05604,2006,ANTIOQUIA,REMEDIOS,3723,591.0,15.874294923448833,121.0,38.0,3882.0,3.116950025759918,7,2.300834052343975,3.1524122807017543,0,0,1.0,47.56499805975941,2005,64310.0,0,1,Andina
05607,2006,ANTIOQUIA,RETIRO,6469,1116.0,17.251507188127995,151.0,78.0,6698.0,2.2544042997909823,7,2.8585429598170533,1.3189257905609408,0,0,1.0,12.20021843784081,2005,64310.0,0,1,Andina
